subj,trial_id,eye,startline,endline,SaclineIndex,start,end,duration,x1_pos,y1_pos,x2_pos,y2_pos,ampl,pk
1950024,0.0,L,1.0,2.0,18.0,12460777.0,12460845.0,72.0,949.4,77.8,349.7,114.4,14.78,401.0
1950024,0.0,L,2.0,3.0,43.0,12465741.0,12465805.0,68.0,908.9,127.5,301.8,167.1,14.97,418.0
1950024,0.0,L,3.0,4.0,62.0,12469861.0,12469925.0,68.0,795.0,246.4,305.5,292.3,12.16,381.0
1950024,0.0,L,4.0,5.0,105.0,12478885.0,12478957.0,76.0,912.3,308.0,319.3,339.6,14.63,367.0
1950024,0.0,L,5.0,6.0,128.0,12485173.0,12485229.0,60.0,992.6,367.0,306.6,392.5,16.78,432.0
1950024,0.0,L,6.0,7.0,149.0,12490905.0,12490973.0,72.0,1018.4,420.7,325.2,460.3,16.94,373.0
1950024,0.0,L,7.0,8.0,167.0,12495921.0,12495969.0,52.0,955.8,477.0,509.7,480.7,10.99,341.0
1950024,0.0,L,8.0,9.0,170.0,12496641.0,12496713.0,76.0,955.5,487.6,350.7,522.6,14.81,357.0
1950024,0.0,L,9.0,8.0,173.0,12497361.0,12497421.0,64.0,288.1,533.1,886.9,508.7,14.63,388.0
1950024,0.0,L,8.0,9.0,174.0,12497581.0,12497629.0,52.0,885.3,512.9,436.3,527.2,11.05,398.0
1950024,0.0,L,9.0,10.0,192.0,12503133.0,12503197.0,68.0,995.8,571.7,334.3,578.0,16.06,425.0
1950024,0.0,L,10.0,11.0,211.0,12507349.0,12507409.0,64.0,969.1,602.2,296.0,627.9,16.31,414.0
1950024,0.0,L,11.0,10.0,213.0,12507861.0,12507945.0,88.0,252.0,631.5,898.1,572.9,15.73,318.0
1950024,0.0,L,10.0,11.0,215.0,12508185.0,12508349.0,168.0,965.7,606.7,331.3,604.8,15.42,1702.0
1950024,0.0,L,11.0,12.0,228.0,12511905.0,12511969.0,68.0,968.3,654.0,253.8,681.9,17.19,393.0
1950024,0.0,L,12.0,11.0,229.0,12512241.0,12512309.0,72.0,268.7,685.0,901.1,658.1,15.29,340.0
1950024,0.0,L,11.0,12.0,231.0,12512701.0,12512773.0,76.0,911.3,661.3,331.6,707.4,14.06,392.0
1950024,0.0,L,12.0,13.0,251.0,12517749.0,12517817.0,72.0,1004.1,729.5,310.4,774.7,16.63,420.0
1950024,1.0,L,1.0,2.0,21.0,12534365.0,12534425.0,64.0,996.0,98.2,309.8,147.7,16.82,433.0
1950024,1.0,L,2.0,3.0,44.0,12540157.0,12540217.0,64.0,1011.0,196.7,323.6,228.4,16.85,436.0
1950024,1.0,L,3.0,4.0,71.0,12545845.0,12545913.0,72.0,894.4,213.3,313.5,259.9,14.37,388.0
1950024,1.0,L,4.0,5.0,90.0,12550881.0,12550953.0,76.0,961.4,325.0,339.6,352.4,15.29,390.0
1950024,1.0,L,5.0,6.0,117.0,12557205.0,12557273.0,72.0,1006.7,372.6,281.9,405.7,17.7,391.0
1950024,1.0,L,6.0,5.0,121.0,12557889.0,12557945.0,60.0,357.2,417.1,940.6,383.4,14.38,349.0
1950024,1.0,L,5.0,6.0,124.0,12558277.0,12558337.0,64.0,981.6,362.9,298.1,411.7,16.75,452.0
1950024,1.0,L,6.0,7.0,142.0,12563169.0,12563225.0,60.0,977.0,425.4,303.7,460.8,16.47,430.0
1950024,1.0,L,7.0,8.0,159.0,12567501.0,12567557.0,60.0,939.7,474.7,297.3,521.4,15.73,427.0
1950024,1.0,L,8.0,9.0,189.0,12573673.0,12573737.0,68.0,999.3,568.1,288.9,597.2,17.22,406.0
1950024,2.0,L,1.0,2.0,14.0,12585489.0,12585537.0,52.0,802.4,73.8,332.9,61.7,11.61,354.0
1950024,2.0,L,2.0,1.0,19.0,12586561.0,12586629.0,72.0,220.6,63.6,773.5,77.4,13.56,290.0
1950024,2.0,L,1.0,2.0,26.0,12588069.0,12588129.0,64.0,962.4,116.2,259.2,153.8,17.22,417.0
1950024,2.0,L,2.0,3.0,43.0,12592777.0,12592833.0,60.0,946.0,161.4,320.5,192.0,15.39,412.0
1950024,2.0,L,3.0,4.0,62.0,12597701.0,12597765.0,68.0,997.3,222.5,256.3,287.7,18.17,415.0
1950024,2.0,L,4.0,3.0,64.0,12598461.0,12598517.0,60.0,252.4,281.4,890.4,217.7,15.74,408.0
1950024,2.0,L,3.0,4.0,66.0,12598773.0,12598829.0,60.0,955.9,226.0,306.7,276.3,15.98,420.0
1950024,2.0,L,4.0,5.0,89.0,12604201.0,12604257.0,60.0,978.1,323.0,322.7,358.7,16.11,394.0
1950024,2.0,L,5.0,4.0,92.0,12604781.0,12604849.0,72.0,247.5,361.9,940.7,319.6,17.0,377.0
1950024,2.0,L,4.0,5.0,94.0,12605169.0,12605233.0,68.0,986.3,316.9,335.4,364.9,16.0,425.0
1950024,2.0,L,5.0,6.0,116.0,12611021.0,12611081.0,64.0,954.3,369.3,278.8,410.1,16.57,398.0
1950024,2.0,L,6.0,7.0,135.0,12615769.0,12615841.0,76.0,974.6,430.1,287.5,471.8,16.79,402.0
1950024,2.0,L,7.0,8.0,155.0,12620305.0,12620365.0,64.0,980.2,507.0,285.2,562.1,16.92,408.0
1950024,2.0,L,8.0,9.0,178.0,12626309.0,12626377.0,72.0,966.8,551.7,282.9,597.4,16.62,404.0
1950024,2.0,L,9.0,10.0,196.0,12630505.0,12630573.0,72.0,970.4,625.8,257.6,666.1,17.2,394.0
1950024,2.0,L,10.0,11.0,220.0,12636149.0,12636213.0,68.0,957.9,683.0,252.9,709.9,16.94,412.0
1950024,2.0,L,11.0,12.0,231.0,12639161.0,12639221.0,64.0,847.5,757.7,302.2,793.0,13.13,355.0
1950024,2.0,L,12.0,13.0,255.0,12645861.0,12646069.0,212.0,1013.0,805.1,250.8,824.8,18.05,1285.0
1950024,2.0,L,13.0,14.0,273.0,12650933.0,12650997.0,68.0,972.6,874.5,322.6,890.9,15.37,392.0
1950024,2.0,L,14.0,15.0,291.0,12654909.0,12654969.0,64.0,994.1,923.8,325.4,956.2,15.71,362.0
