subj,trial_id,trial_type,trialstart,trialend,tdur,recstart,recend,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line_no,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount
1950088,2.0,RP_story03,9990950.0,10110831.0,119881.0,9991026.0,10110029.0,40.0,R,71023.0,0.0,386,143,1,6,Cowboy,1,215,281,204.0,281.0,796.0,2.0,0.0,0.0,1023.0,1.0,572.0,252.0,796.0,0.0,0.0,1023.0,660.0,1.0
1950088,2.0,RP_story03,9990950.0,10110831.0,119881.0,9991026.0,10110029.0,40.0,R,71023.0,0.0,386,143,2,4, was,1,281,325,281.0,325.0,312.0,1.0,0.0,0.0,1023.0,2.0,312.0,328.0,312.0,0.0,0.0,1023.0,472.0,2.0
1950088,2.0,RP_story03,9990950.0,10110831.0,119881.0,9991026.0,10110029.0,40.0,R,71023.0,0.0,386,143,3,8, without,1,325,413,325.0,413.0,252.0,1.0,1.0,1.0,2.0,5.0,252.0,660.0,2412.0,6.0,0.0,2.0,716.0,2.0
1950088,2.0,RP_story03,9990950.0,10110831.0,119881.0,9991026.0,10110029.0,40.0,R,71023.0,0.0,386,143,4,2, a,1,413,435,413.0,435.0,72.0,1.0,0.0,0.0,1023.0,0.0,72.0,392.0,72.0,0.0,0.0,1023.0,,
1950088,2.0,RP_story03,9990950.0,10110831.0,119881.0,9991026.0,10110029.0,40.0,R,71023.0,0.0,386,143,5,6, doubt,1,435,501,435.0,501.0,496.0,2.0,0.0,0.0,1023.0,1.0,392.0,252.0,496.0,0.0,0.0,1023.0,,
1950088,2.0,RP_story03,9990950.0,10110831.0,119881.0,9991026.0,10110029.0,40.0,R,71023.0,0.0,386,143,6,4, the,1,501,545,501.0,545.0,280.0,1.0,0.0,0.0,1023.0,1.0,280.0,228.0,280.0,0.0,0.0,1023.0,,
1950088,2.0,RP_story03,9990950.0,10110831.0,119881.0,9991026.0,10110029.0,40.0,R,71023.0,0.0,386,143,7,8, ugliest,1,545,633,545.0,633.0,632.0,3.0,1.0,6.0,21.0,0.0,252.0,280.0,1140.0,2.0,5.0,21.0,228.0,1.0
1950088,2.0,RP_story03,9990950.0,10110831.0,119881.0,9991026.0,10110029.0,40.0,R,71023.0,0.0,386,143,8,6, horse,1,633,699,633.0,699.0,324.0,1.0,0.0,0.0,1023.0,3.0,324.0,272.0,324.0,0.0,0.0,1023.0,,
1950088,2.0,RP_story03,9990950.0,10110831.0,119881.0,9991026.0,10110029.0,40.0,R,71023.0,0.0,386,143,9,3, in,1,699,732,699.0,732.0,,,,,,,,,,,,,,
1950088,2.0,RP_story03,9990950.0,10110831.0,119881.0,9991026.0,10110029.0,40.0,R,71023.0,0.0,386,143,10,4, the,1,732,776,732.0,776.0,188.0,1.0,0.0,0.0,1023.0,1.0,188.0,264.0,188.0,0.0,0.0,1023.0,,
1950088,2.0,RP_story03,9990950.0,10110831.0,119881.0,9991026.0,10110029.0,40.0,R,71023.0,0.0,386,143,11,7, world.,1,776,853,776.0,853.0,272.0,1.0,1.0,10.0,45.0,1.0,272.0,188.0,460.0,1.0,9.0,45.0,,
1950088,2.0,RP_story03,9990950.0,10110831.0,119881.0,9991026.0,10110029.0,40.0,R,71023.0,0.0,386,143,12,5, Even,1,853,908,853.0,908.0,264.0,1.0,0.0,0.0,1023.0,1.0,264.0,344.0,264.0,0.0,0.0,1023.0,128.0,1.0
1950088,2.0,RP_story03,9990950.0,10110831.0,119881.0,9991026.0,10110029.0,40.0,R,71023.0,0.0,386,143,13,4," so,",1,908,952,908.0,952.0,344.0,1.0,1.0,12.0,55.0,2.0,344.0,128.0,84940.0,364.0,11.0,55.0,,
1950088,2.0,RP_story03,9990950.0,10110831.0,119881.0,9991026.0,10110029.0,40.0,R,71023.0,0.0,386,143,14,2, I,1,952,974,952.0,974.0,,,,,,,,,,,,,,
