subj,trial_id,trial_type,tdur,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line_no,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,1,3,The,1,215,248,204.0,248.0,480.0,1.0,0.0,0.0,605.0,1.0,480.0,132.0,480.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,2,6, trial,1,248,314,248.0,314.0,1024.0,2.0,0.0,0.0,605.0,0.0,132.0,228.0,1024.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,3,5, pack,1,314,369,314.0,369.0,228.0,1.0,0.0,0.0,605.0,1.0,228.0,176.0,228.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,4,3, of,1,369,402,369.0,402.0,176.0,1.0,0.0,0.0,605.0,2.0,176.0,260.0,176.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,5,15, Beauty-Forever,1,402,567,402.0,567.0,1044.0,4.0,0.0,0.0,605.0,1.0,260.0,312.0,1044.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,6,6, pills,1,567,633,567.0,633.0,312.0,1.0,0.0,0.0,605.0,5.0,312.0,168.0,312.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,7,5, made,1,633,688,633.0,688.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,8,4, the,1,688,732,688.0,732.0,168.0,1.0,0.0,0.0,605.0,2.0,168.0,88.0,168.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,9,7, couple,1,732,809,732.0,809.0,88.0,1.0,0.0,0.0,605.0,1.0,88.0,376.0,88.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,10,5, feel,1,809,864,809.0,864.0,888.0,2.0,0.0,0.0,605.0,0.0,376.0,512.0,888.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,11,5, more,1,864,919,864.0,919.0,512.0,1.0,0.0,0.0,605.0,3.0,512.0,172.0,512.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,12,11, attractive,1,919,1040,919.0,1051.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,13,4,than,2,215,259,204.0,259.0,280.0,1.0,0.0,0.0,605.0,1.0,280.0,164.0,280.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,14,7, either,2,259,336,259.0,336.0,172.0,1.0,1.0,13.0,65.0,0.0,172.0,280.0,616.0,2.0,12.0,65.0,784.0,3.0
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,15,4, had,2,336,380,336.0,380.0,236.0,1.0,0.0,0.0,605.0,0.0,236.0,584.0,236.0,0.0,0.0,605.0,628.0,2.0
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,16,5, ever,2,380,435,380.0,435.0,584.0,1.0,1.0,15.0,81.0,1.0,584.0,448.0,2200.0,5.0,13.0,76.0,368.0,1.0
