subj,trial_id,trial_type,sampfreq,script,sessdate,srcfile,tdur,blinks,eye,start_time,end_time,duration,x1_pos,y1_pos,x2_pos,y2_pos,ampl,pk,line_no
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4617088.0,4617104.0,20.0,222.6,82.0,261.4,65.7,1.02,73.0,1.0
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4617420.0,4617428.0,12.0,262.9,70.8,240.9,74.5,0.54,67.0,1.0
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4617648.0,4617664.0,20.0,242.9,75.1,284.8,63.7,1.06,75.0,1.0
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4618180.0,4618192.0,16.0,290.8,68.2,323.7,60.6,0.83,76.0,1.0
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4618324.0,4618332.0,12.0,342.6,56.5,359.0,51.2,0.42,53.0,1.0
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4619028.0,4619044.0,20.0,358.1,59.6,407.6,41.6,1.3,103.0,1.0
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4619236.0,4619248.0,16.0,418.5,40.3,447.5,33.0,0.74,67.0,1.0
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4619428.0,4619436.0,12.0,460.0,29.8,476.9,24.5,0.44,55.0,1.0
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4619560.0,4619568.0,12.0,491.3,23.3,516.0,16.9,0.63,79.0,1.0
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4619868.0,4619880.0,16.0,520.8,18.9,480.4,26.4,1.02,100.0,1.0
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4620220.0,4620232.0,16.0,494.6,20.9,538.4,8.1,1.14,100.0,1.0
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4620524.0,4620536.0,16.0,552.0,10.6,586.6,1.3,0.89,81.0,1.0
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4620932.0,4620948.0,20.0,592.9,2.0,649.8,-6.1,1.43,110.0,1.0
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4621224.0,4621244.0,24.0,652.9,1.1,738.4,-9.2,2.14,146.0,1.0
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4621496.0,4621512.0,20.0,743.8,-2.5,796.3,-9.0,1.31,102.0,1.0
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4621664.0,4621684.0,24.0,809.5,-5.4,879.6,-10.4,1.73,126.0,1.0
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4621976.0,4621984.0,12.0,894.6,-7.2,918.6,-11.0,0.6,74.0,1.0
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4622372.0,4622436.0,68.0,941.8,-2.3,249.4,141.7,17.28,371.0,1_2
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4622620.0,4622624.0,8.0,250.9,136.0,241.3,140.1,0.25,54.0,2
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4622788.0,4622808.0,24.0,236.9,145.6,322.7,118.1,2.2,150.0,2
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4623072.0,4623080.0,12.0,337.0,119.0,354.1,113.0,0.45,56.0,2
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4623228.0,4623244.0,20.0,361.3,111.5,415.0,96.5,1.38,117.0,2
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4623412.0,4623416.0,8.0,428.3,92.2,436.4,89.1,0.22,44.0,2
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4623608.0,4623616.0,12.0,448.9,89.7,473.2,85.6,0.61,76.0,2
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4623824.0,4623836.0,16.0,486.8,84.3,514.7,82.1,0.7,67.0,2
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4624040.0,4624048.0,12.0,521.8,83.5,540.0,80.9,0.46,57.0,2
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4624216.0,4624232.0,20.0,549.2,82.8,613.3,71.6,1.63,125.0,2
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4624472.0,4624488.0,20.0,627.5,74.2,670.7,67.0,1.09,88.0,2
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4624840.0,4624852.0,16.0,683.1,69.2,713.7,66.7,0.77,69.0,2
1950099,0.0,RP_story01,250.0,ET_Passa..._v1binoc,Thu Mar 26 19:32:47 2015,1950099.edf,56812.0,10.0,L,4625152.0,4625160.0,12.0,724.4,66.3,739.8,62.7,0.39,49.0,2
