subj,trial_id,eye,startline,endline,FixlineIndex,start_time,end_time,duration,x_pos,y_pos,pup_size,valid
1950099,0.0,L,1.0,2.0,18.0,4622440.0,4622616.0,180.0,256.5,133.8,843.0,yes
1950099,0.0,L,2.0,3.0,34.0,4626104.0,4626392.0,292.0,234.4,187.2,788.0,yes
1950099,0.0,L,3.0,4.0,51.0,4631388.0,4631564.0,180.0,254.2,244.1,713.0,yes
1950099,0.0,L,4.0,5.0,68.0,4635648.0,4635800.0,156.0,251.2,333.3,719.0,yes
1950099,0.0,L,5.0,4.0,70.0,4636136.0,4636324.0,192.0,927.2,220.4,748.0,yes
1950099,0.0,L,4.0,5.0,75.0,4637844.0,4638160.0,320.0,256.4,320.4,770.0,yes
1950099,0.0,L,5.0,6.0,99.0,4645152.0,4645304.0,156.0,236.1,371.6,770.0,yes
1950099,0.0,L,6.0,7.0,116.0,4650440.0,4650712.0,276.0,223.1,439.5,734.0,yes
1950099,0.0,L,7.0,8.0,128.0,4653388.0,4653700.0,316.0,219.8,498.0,703.0,yes
1950099,0.0,L,8.0,9.0,145.0,4658144.0,4658340.0,200.0,230.4,561.7,703.0,yes
1950099,0.0,L,9.0,10.0,159.0,4660964.0,4661264.0,304.0,242.5,635.7,725.0,yes
1950099,0.0,L,10.0,11.0,170.0,4664032.0,4664296.0,268.0,245.5,683.2,723.0,yes
1950099,0.0,L,11.0,12.0,185.0,4667376.0,4667548.0,176.0,285.8,756.7,716.0,yes
1950099,0.0,L,12.0,13.0,201.0,4670840.0,4670976.0,140.0,243.6,807.4,744.0,yes
1950099,0.0,R,1.0,2.0,225.0,4622444.0,4622616.0,176.0,265.4,137.9,910.0,yes
1950099,0.0,R,2.0,3.0,241.0,4626104.0,4626392.0,292.0,253.0,209.7,854.0,yes
1950099,0.0,R,3.0,4.0,259.0,4631388.0,4631564.0,180.0,274.3,270.5,775.0,yes
1950099,0.0,R,4.0,5.0,276.0,4635652.0,4635800.0,152.0,292.8,384.4,804.0,yes
1950099,0.0,R,5.0,4.0,278.0,4636172.0,4636324.0,156.0,984.8,261.5,764.0,yes
1950099,0.0,R,4.0,5.0,283.0,4637844.0,4638160.0,320.0,290.5,380.3,838.0,yes
1950099,0.0,R,5.0,6.0,307.0,4645152.0,4645308.0,160.0,282.2,419.1,860.0,yes
1950099,0.0,R,6.0,7.0,324.0,4650440.0,4650712.0,276.0,269.2,493.7,819.0,yes
1950099,0.0,R,7.0,8.0,336.0,4653388.0,4653700.0,316.0,266.6,560.3,781.0,yes
1950099,0.0,R,8.0,9.0,353.0,4658144.0,4658340.0,200.0,270.8,609.7,769.0,yes
1950099,0.0,R,9.0,10.0,367.0,4660968.0,4661264.0,300.0,276.7,689.4,780.0,yes
1950099,0.0,R,10.0,11.0,379.0,4664032.0,4664180.0,152.0,280.9,733.9,767.0,yes
