Name,Language,WordID,Word,length,height,baseline,line_no,x1_pos,y1_pos,x2_pos,y2_pos,b_x1,b_y1,b_x2,b_y2
KoreanStory,Korean,1,옛날에,3,29,86,1,215,57,305,86,215,39,305,104
KoreanStory,Korean,2, 사시장철,5,28,86,1,305,58,435,86,305,40,435,104
KoreanStory,Korean,3, 춥지도,4,29,86,1,435,57,535,86,435,39,535,104
KoreanStory,Korean,4, 더웁지도,5,29,86,1,535,57,665,86,535,39,665,104
KoreanStory,Korean,5, 않게,3,29,86,1,665,57,735,86,665,39,735,104
KoreanStory,Korean,6, 날씨,3,28,86,1,735,58,805,86,735,40,805,104
KoreanStory,Korean,7, 좋고,3,27,86,1,805,59,875,86,805,41,875,104
KoreanStory,Korean,8, 땅은,3,28,86,1,875,58,945,86,875,40,945,104
KoreanStory,Korean,9, 기름진,4,29,86,1,945,57,1045,86,945,39,1045,104
KoreanStory,Korean,10,고장에,3,28,151,2,215,123,305,151,215,105,305,169
KoreanStory,Korean,11, 작고,3,28,151,2,305,123,375,151,305,105,375,169
KoreanStory,Korean,12, 아름다운,5,29,151,2,375,122,505,151,375,104,505,169
KoreanStory,Korean,13, 나라가,4,28,151,2,505,123,605,151,505,105,605,169
KoreanStory,Korean,14, 있었습니다.,7,29,151,2,605,122,774,151,605,104,774,169
KoreanStory,Korean,15, 그,2,20,151,2,774,131,814,151,774,113,814,169
KoreanStory,Korean,16, 나라를,4,28,151,2,814,123,914,151,814,105,914,169
KoreanStory,Korean,17, 다스리는,5,28,151,2,914,123,1044,151,914,105,1044,169
KoreanStory,Korean,18,임금님도,4,29,216,3,215,187,335,216,215,169,335,234
KoreanStory,Korean,19, 그,2,20,216,3,335,196,375,216,335,178,375,234
KoreanStory,Korean,20, 나라의,4,28,216,3,375,188,475,216,375,170,475,234
KoreanStory,Korean,21, 자연만큼이나,7,29,216,3,475,187,665,216,475,169,665,234
KoreanStory,Korean,22, 자비로워,5,29,216,3,665,187,795,216,665,169,795,234
KoreanStory,Korean,23, 그,2,20,216,3,795,196,835,216,795,178,835,234
KoreanStory,Korean,24, 나라의,4,28,216,3,835,188,935,216,835,170,935,234
KoreanStory,Korean,25, 백성들은,5,29,216,3,935,187,1065,216,935,169,1065,234
KoreanStory,Korean,26,모두,2,28,281,4,215,253,275,281,215,235,275,299
KoreanStory,Korean,27, 행복했습니다.,8,29,281,4,275,252,474,281,275,234,474,299
KoreanStory,Korean,28, 나쁜,3,28,281,4,474,253,544,281,474,235,544,299
KoreanStory,Korean,29, 짓을,3,28,281,4,544,253,614,281,544,235,614,299
KoreanStory,Korean,30, 한,2,27,281,4,614,254,654,281,614,236,654,299
KoreanStory,Korean,31, 죄인을,4,28,281,4,654,253,754,281,654,235,754,299
KoreanStory,Korean,32, 가두기,4,28,281,4,754,253,854,281,754,235,854,299
KoreanStory,Korean,33, 위한,3,28,281,4,854,253,924,281,854,235,924,299
KoreanStory,Korean,34, 감옥이,4,30,281,4,924,251,1024,281,924,233,1024,299
KoreanStory,Korean,35,오래전부터,5,29,346,5,215,317,365,346,215,299,365,364
KoreanStory,Korean,36, 비어,3,29,346,5,365,317,435,346,365,299,435,364
KoreanStory,Korean,37, 있어,3,29,346,5,435,317,505,346,435,299,505,364
KoreanStory,Korean,38, 관광지가,5,28,346,5,505,318,635,346,505,300,635,364
KoreanStory,Korean,39, 된,2,27,346,5,635,319,675,346,635,301,675,364
KoreanStory,Korean,40, 지,2,28,346,5,675,318,715,346,675,300,715,364
KoreanStory,Korean,41, 몇,2,28,346,5,715,318,755,346,715,300,755,364
KoreanStory,Korean,42, 년째입니다.,7,29,346,5,755,317,924,346,755,299,924,364
