Name,Language,WordID,Word,length,height,baseline,line_no,x1_pos,y1_pos,x2_pos,y2_pos,b_x1,b_y1,b_x2,b_y2
story03,English,1,Cowboy,6,17,86,1,215,72,281,89,215,56,281,106
story03,English,2, was,4,10,86,1,281,76,325,86,281,56,325,106
story03,English,3, without,8,14,86,1,325,72,413,86,325,56,413,106
story03,English,4, a,2,10,86,1,413,76,435,86,413,56,435,106
story03,English,5, doubt,6,14,86,1,435,72,501,86,435,56,501,106
story03,English,6, the,4,14,86,1,501,72,545,86,501,56,545,106
story03,English,7, ugliest,8,17,86,1,545,72,633,89,545,56,633,106
story03,English,8, horse,6,14,86,1,633,72,699,86,633,56,699,106
story03,English,9, in,3,14,86,1,699,72,732,86,699,56,732,106
story03,English,10, the,4,14,86,1,732,72,776,86,732,56,776,106
story03,English,11, world.,7,14,86,1,776,72,853,86,776,56,853,106
story03,English,12, Even,5,12,86,1,853,74,908,86,853,56,908,106
story03,English,13," so,",4,13,86,1,908,76,952,89,908,56,952,106
story03,English,14, I,2,12,86,1,952,74,974,86,952,56,974,106
story03,English,15, loved,6,14,86,1,974,72,1040,86,974,56,1040,106
story03,English,16,him,3,14,147,2,215,133,248,147,215,117,248,167
story03,English,17, beyond,7,17,147,2,248,133,325,150,248,117,325,167
story03,English,18, all,4,14,147,2,325,133,369,147,325,117,369,167
story03,English,19, reason.,8,10,147,2,369,137,457,147,369,117,457,167
story03,English,20, I,2,12,147,2,457,135,479,147,457,117,479,167
story03,English,21, realized,9,14,147,2,479,133,578,147,479,117,578,167
story03,English,22, that,5,14,147,2,578,133,633,147,578,117,633,167
story03,English,23, my,3,13,147,2,633,137,666,150,633,117,666,167
story03,English,24, only,5,17,147,2,666,133,721,150,666,117,721,167
story03,English,25, chance,7,14,147,2,721,133,798,147,721,117,798,167
story03,English,26, to,3,12,147,2,798,135,831,147,798,117,831,167
story03,English,27, compete,8,15,147,2,831,135,919,150,831,117,919,167
story03,English,28, at,3,12,147,2,919,135,952,147,919,117,952,167
story03,English,29, the,4,14,147,2,952,133,996,147,952,117,996,167
story03,English,30,Western,7,12,208,3,215,196,292,208,215,178,292,228
story03,English,31, Days,5,15,208,3,292,196,347,211,292,178,347,228
story03,English,32, Festival,9,14,208,3,347,194,446,208,347,178,446,228
story03,English,33, would,6,14,208,3,446,194,512,208,446,178,512,228
story03,English,34, be,3,14,208,3,512,194,545,208,512,178,545,228
story03,English,35, in,3,14,208,3,545,194,578,208,545,178,578,228
story03,English,36, the,4,14,208,3,578,194,622,208,578,178,622,228
story03,English,37, speed,6,17,208,3,622,194,688,211,622,178,688,228
story03,English,38," events,",8,15,208,3,688,196,776,211,688,178,776,228
story03,English,39, since,6,14,208,3,776,194,842,208,776,178,842,228
story03,English,40, events,7,12,208,3,842,196,919,208,842,178,919,228
story03,English,41, based,6,14,208,3,919,194,985,208,919,178,985,228
story03,English,42, on,3,10,208,3,985,198,1018,208,985,178,1018,228
story03,English,43,appearance,10,13,273,4,215,263,325,276,215,243,325,293
story03,English,44, were,5,10,273,4,325,263,380,273,325,243,380,293
story03,English,45, out,4,12,273,4,380,261,424,273,380,243,424,293
story03,English,46, of,3,14,273,4,424,259,457,273,424,243,457,293
story03,English,47, the,4,14,273,4,457,259,501,273,457,243,501,293
story03,English,48, question.,10,17,273,4,501,259,611,276,501,243,611,293
story03,English,49, I,2,12,273,4,611,261,633,273,611,243,633,293
story03,English,50, chose,6,14,273,4,633,259,699,273,633,243,699,293
story03,English,51, barrel,7,14,273,4,699,259,776,273,699,243,776,293
story03,English,52, racing,7,17,273,4,776,259,853,276,776,243,853,293
story03,English,53, and,4,14,273,4,853,259,897,273,853,243,897,293
story03,English,54, came,5,10,273,4,897,263,952,273,897,243,952,293
story03,English,55, in,3,14,273,4,952,259,985,273,952,243,985,293
story03,English,56, next,5,12,273,4,985,261,1040,273,985,243,1040,293
story03,English,57,to,2,12,336,5,215,324,237,336,215,306,237,356
story03,English,58," last,",6,17,336,5,237,322,303,339,237,306,303,356
story03,English,59, while,6,14,336,5,303,322,369,336,303,306,369,356
story03,English,60," Becky,",7,17,336,5,369,322,446,339,369,306,446,356
story03,English,61, who,4,14,336,5,446,322,490,336,446,306,490,356
story03,English,62, rode,5,14,336,5,490,322,545,336,490,306,545,356
story03,English,63, a,2,10,336,5,545,326,567,336,545,306,567,356
story03,English,64, big,4,17,336,5,567,322,611,339,567,306,611,356
story03,English,65, brown,6,14,336,5,611,322,677,336,611,306,677,356
story03,English,66, thoroughbred,13,17,336,5,677,322,820,339,677,306,820,356
story03,English,67," mare,",6,13,336,5,820,326,886,339,820,306,886,356
story03,English,68, won,4,10,336,5,886,326,930,336,886,306,930,356
story03,English,69, every,6,13,336,5,930,326,996,339,930,306,996,356
story03,English,70,time.,5,14,401,6,215,387,270,401,215,371,270,421
story03,English,71, For,4,12,401,6,270,389,314,401,270,371,314,421
story03,English,72, the,4,14,401,6,314,387,358,401,314,371,358,421
story03,English,73, whole,6,14,401,6,358,387,424,401,358,371,424,421
story03,English,74, next,5,12,401,6,424,389,479,401,424,371,479,421
story03,English,75, month,6,14,401,6,479,387,545,401,479,371,545,421
story03,English,76, I,2,12,401,6,545,389,567,401,545,371,567,421
story03,English,77, woke,5,14,401,6,567,387,622,401,567,371,622,421
story03,English,78, up,3,13,401,6,622,391,655,404,622,371,655,421
story03,English,79, early,6,17,401,6,655,387,721,404,655,371,721,421
story03,English,80, every,6,13,401,6,721,391,787,404,721,371,787,421
story03,English,81, day,4,17,401,6,787,387,831,404,787,371,831,421
story03,English,82, and,4,14,401,6,831,387,875,401,831,371,875,421
story03,English,83, rode,5,14,401,6,875,387,930,401,875,371,930,421
story03,English,84, Cowboy,7,17,401,6,930,387,1007,404,930,371,1007,421
story03,English,85,five,4,14,462,7,215,448,259,462,215,432,259,482
story03,English,86, miles,6,14,462,7,259,448,325,462,259,432,325,482
story03,English,87, to,3,12,462,7,325,450,358,462,325,432,358,482
story03,English,88, the,4,14,462,7,358,448,402,462,358,432,402,482
story03,English,89, arena,6,10,462,7,402,452,468,462,402,432,468,482
story03,English,90, and,4,14,462,7,468,448,512,462,468,432,512,482
story03,English,91, trained.,9,14,462,7,512,448,611,462,512,432,611,482
story03,English,92, On,3,12,462,7,611,450,644,462,611,432,644,482
story03,English,93, the,4,14,462,7,644,448,688,462,644,432,688,482
story03,English,94, way,4,13,462,7,688,452,732,465,688,432,732,482
story03,English,95, home,5,14,462,7,732,448,787,462,732,432,787,482
story03,English,96, from,5,14,462,7,787,448,842,462,787,432,842,482
story03,English,97, the,4,14,462,7,842,448,886,462,842,432,886,482
story03,English,98," arena,",7,13,462,7,886,452,963,465,886,432,963,482
story03,English,99, I,2,12,462,7,963,450,985,462,963,432,985,482
story03,English,100,would,5,14,525,8,215,511,270,525,215,495,270,545
story03,English,101, be,3,14,525,8,270,511,303,525,270,495,303,545
story03,English,102, so,3,10,525,8,303,515,336,525,303,495,336,545
story03,English,103, tired;,7,17,525,8,336,511,413,528,336,495,413,545
story03,English,104, those,6,14,525,8,413,511,479,525,413,495,479,545
story03,English,105, five,5,14,525,8,479,511,534,525,479,495,534,545
story03,English,106, miles,6,14,525,8,534,511,600,525,534,495,600,545
story03,English,107, seemed,7,14,525,8,600,511,677,525,600,495,677,545
story03,English,108, twice,6,14,525,8,677,511,743,525,677,495,743,545
story03,English,109, as,3,10,525,8,743,515,776,525,743,495,776,545
story03,English,110, long.,6,17,525,8,776,511,842,528,776,495,842,545
story03,English,111, In,3,12,525,8,842,513,875,525,842,495,875,545
story03,English,112, the,4,14,525,8,875,511,919,525,875,495,919,545
story03,English,113, following,10,17,525,8,919,511,1029,528,919,495,1029,545
story03,English,114,"competition,",12,17,586,9,215,572,347,589,215,556,347,606
story03,English,115, I,2,12,586,9,347,574,369,586,347,556,369,606
story03,English,116, sat,4,12,586,9,369,574,413,586,369,556,413,606
story03,English,117, at,3,12,586,9,413,574,446,586,413,556,446,606
story03,English,118, the,4,14,586,9,446,572,490,586,446,556,490,606
story03,English,119, gate,5,15,586,9,490,574,545,589,490,556,545,606
story03,English,120, while,6,14,586,9,545,572,611,586,545,556,611,606
story03,English,121, I,2,12,586,9,611,574,633,586,611,556,633,606
story03,English,122, watched,8,14,586,9,633,572,721,586,633,556,721,606
story03,English,123, Becky,6,17,586,9,721,572,787,589,721,556,787,606
story03,English,124, and,4,14,586,9,787,572,831,586,787,556,831,606
story03,English,125, her,4,14,586,9,831,572,875,586,831,556,875,606
story03,English,126, horse,6,14,586,9,875,572,941,586,875,556,941,606
story03,English,127, race,5,10,586,9,941,576,996,586,941,556,996,606
story03,English,128,through,7,17,651,10,215,637,292,654,215,621,292,671
story03,English,129, the,4,14,651,10,292,637,336,651,292,621,336,671
story03,English,130, course,7,10,651,10,336,641,413,651,336,621,413,671
story03,English,131, with,5,14,651,10,413,637,468,651,413,621,468,671
story03,English,132, ease.,6,10,651,10,468,641,534,651,468,621,534,671
story03,English,133, My,3,15,651,10,534,639,567,654,534,621,567,671
story03,English,134, turn,5,12,651,10,567,639,622,651,567,621,622,671
story03,English,135, finally,8,17,651,10,622,637,710,654,622,621,710,671
story03,English,136, came.,6,10,651,10,710,641,776,651,710,621,776,671
story03,English,137, At,3,12,651,10,776,639,809,651,776,621,809,671
story03,English,138, the,4,14,651,10,809,637,853,651,809,621,853,671
story03,English,139," signal,",8,17,651,10,853,637,941,654,853,621,941,671
story03,English,140, we,3,10,651,10,941,641,974,651,941,621,974,671
story03,English,141,dashed,6,14,716,11,215,702,281,716,215,682,281,736
story03,English,142, toward,7,14,716,11,281,702,358,716,281,682,358,736
story03,English,143, the,4,14,716,11,358,702,402,716,358,682,402,736
story03,English,144, first,6,14,716,11,402,702,468,716,402,682,468,736
story03,English,145," barrel,",8,17,716,11,468,702,556,719,468,682,556,736
story03,English,146, whipped,8,17,716,11,556,702,644,719,556,682,644,736
story03,English,147, around,7,14,716,11,644,702,721,716,644,682,721,736
story03,English,148, it,3,14,716,11,721,702,754,716,721,682,754,736
story03,English,149, and,4,14,716,11,754,702,798,716,754,682,798,736
story03,English,150, with,5,14,716,11,798,702,853,716,798,682,853,736
story03,English,151, perfect,8,17,716,11,853,702,941,719,853,682,941,736
story03,English,152,precision,9,17,777,12,215,763,314,780,215,747,314,797
story03,English,153, rounded,8,14,777,12,314,763,402,777,314,747,402,797
story03,English,154, the,4,14,777,12,402,763,446,777,402,747,446,797
story03,English,155, second,7,14,777,12,446,763,523,777,446,747,523,797
story03,English,156, and,4,14,777,12,523,763,567,777,523,747,567,797
story03,English,157, the,4,14,777,12,567,763,611,777,567,747,611,797
story03,English,158, third.,7,14,777,12,611,763,688,777,611,747,688,797
story03,English,159, When,5,14,777,12,688,763,743,777,688,747,743,797
story03,English,160, we,3,10,777,12,743,767,776,777,743,747,776,797
story03,English,161, passed,7,17,777,12,776,763,853,780,776,747,853,797
story03,English,162, the,4,14,777,12,853,763,897,777,853,747,897,797
story03,English,163, finish,7,14,777,12,897,763,974,777,897,747,974,797
story03,English,164," line,",6,17,777,12,974,763,1040,780,974,747,1040,797
story03,English,165,the,3,14,838,13,215,824,248,838,215,808,248,858
story03,English,166, crowd,6,14,838,13,248,824,314,838,248,808,314,858
story03,English,167, was,4,10,838,13,314,828,358,838,314,808,358,858
story03,English,168, silent.,8,14,838,13,358,824,446,838,358,808,446,858
