Name,Language,WordID,Word,length,height,baseline,line_no,x1_pos,y1_pos,x2_pos,y2_pos,b_x1,b_y1,b_x2,b_y2
ChineseStory,Chinese,1,南郭,2,17,86,1,215,69,251,86,215,51,251,104
ChineseStory,Chinese,2,先生,2,17,86,1,251,69,287,86,251,51,287,104
ChineseStory,Chinese,3,是,1,16,86,1,287,70,305,86,287,52,305,104
ChineseStory,Chinese,4,齐国人，,4,17,86,1,305,69,377,86,305,51,377,104
ChineseStory,Chinese,5,齐国,2,17,86,1,377,69,413,86,377,51,413,104
ChineseStory,Chinese,6,当时,2,17,86,1,413,69,449,86,413,51,449,104
ChineseStory,Chinese,7,在位的,3,17,86,1,449,69,503,86,449,51,503,104
ChineseStory,Chinese,8,君王,2,16,86,1,503,70,539,86,503,52,539,104
ChineseStory,Chinese,9,是,1,16,86,1,539,70,557,86,539,52,557,104
ChineseStory,Chinese,10,齐宣王，,4,17,86,1,557,69,629,86,557,51,629,104
ChineseStory,Chinese,11,宣王,2,16,86,1,629,70,665,86,629,52,665,104
ChineseStory,Chinese,12,非常,2,17,86,1,665,69,701,86,665,51,701,104
ChineseStory,Chinese,13,喜欢,2,17,86,1,701,69,737,86,701,51,737,104
ChineseStory,Chinese,14,听,1,17,86,1,737,69,755,86,737,51,755,104
ChineseStory,Chinese,15,一种,2,17,86,1,755,69,791,86,755,51,791,104
ChineseStory,Chinese,16,古代的,3,17,86,1,791,69,845,86,791,51,845,104
ChineseStory,Chinese,17,簧乐器,3,17,151,2,215,134,269,151,215,116,269,169
ChineseStory,Chinese,18,竽,1,17,151,2,269,134,287,151,269,116,287,169
ChineseStory,Chinese,19,吹奏,2,17,151,2,287,134,323,151,287,116,323,169
ChineseStory,Chinese,20,出来的,3,17,151,2,323,134,377,151,323,116,377,169
ChineseStory,Chinese,21,声音，,3,17,151,2,377,134,431,151,377,116,431,169
ChineseStory,Chinese,22,而且,2,16,151,2,431,135,467,151,431,117,467,169
ChineseStory,Chinese,23,他,1,17,151,2,467,134,485,151,467,116,485,169
ChineseStory,Chinese,24,喜欢,2,17,151,2,485,134,521,151,485,116,521,169
ChineseStory,Chinese,25,听,1,17,151,2,521,134,539,151,521,116,539,169
ChineseStory,Chinese,26,合奏。,3,17,151,2,539,134,593,151,539,116,593,169
ChineseStory,Chinese,27,他,1,17,151,2,593,134,611,151,593,116,611,169
ChineseStory,Chinese,28,打算,2,17,151,2,611,134,647,151,611,116,647,169
ChineseStory,Chinese,29,组织,2,17,151,2,647,134,683,151,647,116,683,169
ChineseStory,Chinese,30,三百人的,4,17,151,2,683,134,755,151,683,116,755,169
ChineseStory,Chinese,31,乐团，,3,17,151,2,755,134,809,151,755,116,809,169
ChineseStory,Chinese,32,南郭,2,17,216,3,215,199,251,216,215,181,251,234
ChineseStory,Chinese,33,先生,2,17,216,3,251,199,287,216,251,181,287,234
ChineseStory,Chinese,34,是,1,16,216,3,287,200,305,216,287,182,305,234
ChineseStory,Chinese,35,位,1,17,216,3,305,199,323,216,305,181,323,234
ChineseStory,Chinese,36,读书人，,4,17,216,3,323,199,395,216,323,181,395,234
ChineseStory,Chinese,37,他,1,17,216,3,395,199,413,216,395,181,413,234
ChineseStory,Chinese,38,学问,2,17,216,3,413,199,449,216,413,181,449,234
ChineseStory,Chinese,39,渊博，,3,17,216,3,449,199,503,216,449,181,503,234
ChineseStory,Chinese,40,但是,2,17,216,3,503,199,539,216,503,181,539,234
ChineseStory,Chinese,41,因为,2,17,216,3,539,199,575,216,539,181,575,234
ChineseStory,Chinese,42,家境,2,17,216,3,575,199,611,216,575,181,611,234
ChineseStory,Chinese,43,清贫，,3,17,216,3,611,199,665,216,611,181,665,234
ChineseStory,Chinese,44,常常,2,17,216,3,665,199,701,216,665,181,701,234
ChineseStory,Chinese,45,饿,1,17,216,3,701,199,719,216,701,181,719,234
ChineseStory,Chinese,46,肚子。,3,17,216,3,719,199,773,216,719,181,773,234
ChineseStory,Chinese,47,听说,2,17,216,3,773,199,809,216,773,181,809,234
ChineseStory,Chinese,48,宣王,2,16,281,4,215,265,251,281,215,247,251,299
ChineseStory,Chinese,49,要用,2,17,281,4,251,264,287,281,251,246,287,299
ChineseStory,Chinese,50,丰富的,3,17,281,4,287,264,341,281,287,246,341,299
ChineseStory,Chinese,51,口粮,2,17,281,4,341,264,377,281,341,246,377,299
ChineseStory,Chinese,52,供养,2,17,281,4,377,264,413,281,377,246,413,299
ChineseStory,Chinese,53,一大批,3,17,281,4,413,264,467,281,413,246,467,299
ChineseStory,Chinese,54,吹竽的,3,17,281,4,467,264,521,281,467,246,521,299
ChineseStory,Chinese,55,人，,2,17,281,4,521,264,557,281,521,246,557,299
ChineseStory,Chinese,56,南郭,2,17,281,4,557,264,593,281,557,246,593,299
ChineseStory,Chinese,57,处士,2,16,281,4,593,265,629,281,593,247,629,299
ChineseStory,Chinese,58,于是,2,16,281,4,629,265,665,281,629,247,665,299
ChineseStory,Chinese,59,就去,2,17,281,4,665,264,701,281,665,246,701,299
ChineseStory,Chinese,60,央求,2,17,281,4,701,264,737,281,701,246,737,299
ChineseStory,Chinese,61,宣王,2,16,281,4,737,265,773,281,737,247,773,299
ChineseStory,Chinese,62,也,1,16,281,4,773,265,791,281,773,247,791,299
ChineseStory,Chinese,63,让,1,16,281,4,791,265,809,281,791,247,809,299
ChineseStory,Chinese,64,他,1,17,281,4,809,264,827,281,809,246,827,299
ChineseStory,Chinese,65,加入，,3,17,346,5,215,329,269,346,215,311,269,364
ChineseStory,Chinese,66,宣王,2,16,346,5,269,330,305,346,269,312,305,364
ChineseStory,Chinese,67,竟然,2,17,346,5,305,329,341,346,305,311,341,364
ChineseStory,Chinese,68,也,1,16,346,5,341,330,359,346,341,312,359,364
ChineseStory,Chinese,69,答应了，,4,17,346,5,359,329,431,346,359,311,431,364
ChineseStory,Chinese,70,从此,2,17,346,5,431,329,467,346,431,311,467,364
ChineseStory,Chinese,71,南郭,2,17,346,5,467,329,503,346,467,311,503,364
ChineseStory,Chinese,72,先生,2,17,346,5,503,329,539,346,503,311,539,364
ChineseStory,Chinese,73,成为,2,17,346,5,539,329,575,346,539,311,575,364
ChineseStory,Chinese,74,三百,2,16,346,5,575,330,611,346,575,312,611,364
ChineseStory,Chinese,75,名,1,17,346,5,611,329,629,346,611,311,629,364
ChineseStory,Chinese,76,吹竽手,3,17,346,5,629,329,683,346,629,311,683,364
ChineseStory,Chinese,77,之一。,3,16,346,5,683,330,737,346,683,312,737,364
ChineseStory,Chinese,78,每当,2,17,346,5,737,329,773,346,737,311,773,364
ChineseStory,Chinese,79,宣王,2,16,346,5,773,330,809,346,773,312,809,364
ChineseStory,Chinese,80,要听,2,17,346,5,809,329,845,346,809,311,845,364
ChineseStory,Chinese,81,竽,1,17,411,6,215,394,233,411,215,376,233,429
ChineseStory,Chinese,82,合奏的,3,17,411,6,233,394,287,411,233,376,287,429
ChineseStory,Chinese,83,时候，,3,17,411,6,287,394,341,411,287,376,341,429
ChineseStory,Chinese,84,南郭,2,17,411,6,341,394,377,411,341,376,377,429
ChineseStory,Chinese,85,先生,2,17,411,6,377,394,413,411,377,376,413,429
ChineseStory,Chinese,86,就在,2,17,411,6,413,394,449,411,413,376,449,429
ChineseStory,Chinese,87,乐团,2,17,411,6,449,394,485,411,449,376,485,429
ChineseStory,Chinese,88,里头,2,17,411,6,485,394,521,411,485,376,521,429
ChineseStory,Chinese,89,装模作样,4,17,411,6,521,394,593,411,521,376,593,429
ChineseStory,Chinese,90,一番，,3,17,411,6,593,394,647,411,593,376,647,429
ChineseStory,Chinese,91,反正,2,17,411,6,647,394,683,411,647,376,683,429
ChineseStory,Chinese,92,人多,2,17,411,6,683,394,719,411,683,376,719,429
ChineseStory,Chinese,93,他,1,17,411,6,719,394,737,411,719,376,737,429
