Name,Language,WordID,Word,length,height,baseline,line_no,x1_pos,y1_pos,x2_pos,y2_pos,b_x1,b_y1,b_x2,b_y2
LatinLanguageExamples,German,1,"""sometimes",10,13,86,1,215,73,325,86,215,55,325,108
LatinLanguageExamples,German,2, things,7,17,86,1,325,73,402,90,325,55,402,108
LatinLanguageExamples,German,3, don't,6,13,86,1,402,73,468,86,402,55,468,108
LatinLanguageExamples,German,4, go,3,14,86,1,468,76,501,90,468,55,501,108
LatinLanguageExamples,German,5, as,3,10,86,1,501,76,534,86,501,55,534,108
LatinLanguageExamples,German,6, planned,8,17,86,1,534,73,622,90,534,55,622,108
LatinLanguageExamples,German,7, on,3,10,86,1,622,76,655,86,622,55,655,108
LatinLanguageExamples,German,8, the,4,13,86,1,655,73,699,86,655,55,699,108
LatinLanguageExamples,German,9," river,",7,16,86,1,699,73,776,89,699,55,776,108
LatinLanguageExamples,German,10, and,4,13,86,1,776,73,820,86,776,55,820,108
LatinLanguageExamples,German,11, they,5,17,86,1,820,73,875,90,820,55,875,108
LatinLanguageExamples,German,12, turn,5,12,86,1,875,74,930,86,875,55,930,108
LatinLanguageExamples,German,13, for,4,13,86,1,930,73,974,86,930,55,974,108
LatinLanguageExamples,German,14, the,4,13,86,1,974,73,1018,86,974,55,1018,108
LatinLanguageExamples,German,15,worst.,6,12,151,2,215,139,281,151,215,120,281,173
LatinLanguageExamples,German,16, You,4,12,151,2,281,139,325,151,281,120,325,173
LatinLanguageExamples,German,17, find,5,13,151,2,325,138,380,151,325,120,380,173
LatinLanguageExamples,German,18, yourself,9,17,151,2,380,138,479,155,380,120,479,173
LatinLanguageExamples,German,19," struggling,",12,17,151,2,479,138,611,155,479,120,611,173
LatinLanguageExamples,German,20, fighting,9,17,151,2,611,138,710,155,611,120,710,173
LatinLanguageExamples,German,21, against,8,17,151,2,710,138,798,155,710,120,798,173
LatinLanguageExamples,German,22, the,4,13,151,2,798,138,842,151,798,120,842,173
LatinLanguageExamples,German,23, force,6,13,151,2,842,138,908,151,842,120,908,173
LatinLanguageExamples,German,24, of,3,13,151,2,908,138,941,151,908,120,941,173
LatinLanguageExamples,German,25, the,4,13,151,2,941,138,985,151,941,120,985,173
LatinLanguageExamples,German,26,river.,6,13,216,3,215,203,281,216,215,185,281,238
LatinLanguageExamples,German,27, When,5,13,216,3,281,203,336,216,281,185,336,238
LatinLanguageExamples,German,28, that,5,13,216,3,336,203,391,216,336,185,391,238
LatinLanguageExamples,German,29, happens,8,17,216,3,391,203,479,220,391,185,479,238
LatinLanguageExamples,German,30, in,3,13,216,3,479,203,512,216,479,185,512,238
LatinLanguageExamples,German,31," nature,",8,15,216,3,512,204,600,219,512,185,600,238
LatinLanguageExamples,German,32, it's,5,13,216,3,600,203,655,216,600,185,655,238
LatinLanguageExamples,German,33, best,5,13,216,3,655,203,710,216,655,185,710,238
LatinLanguageExamples,German,34, to,3,12,216,3,710,204,743,216,710,185,743,238
LatinLanguageExamples,German,35, surrender.,11,13,216,3,743,203,864,216,743,185,864,238
LatinLanguageExamples,German,36, You'd,6,13,216,3,864,203,930,216,864,185,930,238
LatinLanguageExamples,German,37, never,6,10,216,3,930,206,996,216,930,185,996,238
LatinLanguageExamples,German,38,"Comme-ci,",9,16,281,4,215,268,314,284,215,251,314,303
LatinLanguageExamples,German,39, comme-ça.,10,14,281,4,314,271,424,285,314,251,424,303
LatinLanguageExamples,German,40,Il,2,13,346,5,215,333,237,346,215,315,237,368
LatinLanguageExamples,German,41, n'y,4,17,346,5,237,333,281,350,237,315,281,368
LatinLanguageExamples,German,42, a,2,10,346,5,281,336,303,346,281,315,303,368
LatinLanguageExamples,German,43, pas,4,14,346,5,303,336,347,350,303,315,347,368
LatinLanguageExamples,German,44, de,3,13,346,5,347,333,380,346,347,315,380,368
LatinLanguageExamples,German,45, quoi,5,17,346,5,380,333,435,350,380,315,435,368
LatinLanguageExamples,German,46,Auf,3,13,411,6,215,398,248,411,215,380,248,429
LatinLanguageExamples,German,47, Wiedersehen!,13,13,411,6,248,398,391,411,248,380,391,429
LatinLanguageExamples,German,48, Tschüß!,8,14,411,6,391,397,479,411,391,380,479,429
LatinLanguageExamples,German,49,Ă,1,16,476,7,215,460,226,476,215,442,226,498
LatinLanguageExamples,German,50, Ć,2,16,476,7,226,460,248,476,226,442,248,498
LatinLanguageExamples,German,51, Ĉ,2,16,476,7,248,460,270,476,248,442,270,498
LatinLanguageExamples,German,52, àáâãä,6,14,476,7,270,462,336,476,270,442,336,498
LatinLanguageExamples,German,53, ß,2,13,476,7,336,463,358,476,336,442,358,498
LatinLanguageExamples,German,54, Þƀ,3,13,476,7,358,463,391,476,358,442,391,498
LatinLanguageExamples,German,55, ĺłŃ,4,16,476,7,391,460,435,476,391,442,435,498
LatinLanguageExamples,German,56, ŇŊ,3,16,476,7,435,460,468,476,435,442,468,498
LatinLanguageExamples,German,57, ŌŎĢĘĮĶ,7,20,476,7,468,460,546,480,468,442,546,498
LatinLanguageExamples,German,58,ýÿĝğġƀ,6,18,541,8,215,528,281,546,215,508,281,564
LatinLanguageExamples,German,59, ýÿğġãä,7,19,541,8,281,527,358,546,281,508,358,564
LatinLanguageExamples,German,60, łŃÿğä,6,21,541,8,358,525,424,546,358,508,424,564
LatinLanguageExamples,German,61, çę,3,14,541,8,424,531,457,545,424,508,457,564
LatinLanguageExamples,German,62, ųƍƹŊ,5,20,541,8,457,525,512,545,457,508,512,564
LatinLanguageExamples,German,63, amn,4,10,541,8,512,531,556,541,512,508,556,564
