Name,Language,WordID,Word,length,height,baseline,line_no,x1_pos,y1_pos,x2_pos,y2_pos,b_x1,b_y1,b_x2,b_y2
Newstory01,English,1,red,4,124,225,1,187,225,277,349,187,225,277,349
Newstory01,English,2,black,4,124,225,1,289,225,379,349,289,225,379,349
Newstory01,English,3,yellow,4,124,225,1,391,225,481,349,391,225,481,349
Newstory01,English,4,green,4,124,225,1,493,225,583,349,493,225,583,349
Newstory01,English,5,blue,4,124,225,1,595,225,685,349,595,225,685,349
Newstory01,English,6,brown,4,124,225,1,697,225,787,349,697,225,787,349
Newstory01,English,7,red,4,124,225,1,799,225,889,349,799,225,889,349
Newstory01,English,8,blue,4,124,225,1,901,225,991,349,901,225,991,349
Newstory01,English,9,yellow,4,124,225,1,1003,225,1093,349,1003,225,1093,349
Newstory01,English,10,green,4,124,375,2,187,375,277,499,187,375,277,499
Newstory01,English,11,brown,4,124,375,2,289,375,379,499,289,375,379,499
Newstory01,English,12,black,4,124,375,2,391,375,481,499,391,375,481,499
Newstory01,English,13,blue,4,124,375,2,493,375,583,499,493,375,583,499
Newstory01,English,14,black,4,124,375,2,595,375,685,499,595,375,685,499
Newstory01,English,15,red,4,124,375,2,697,375,787,499,697,375,787,499
Newstory01,English,16,green,4,124,375,2,799,375,889,499,799,375,889,499
Newstory01,English,17,yellow,4,124,375,2,901,375,991,499,901,375,991,499
Newstory01,English,18,brown,4,124,375,2,1003,375,1093,499,1003,375,1093,499
Newstory01,English,19,brown,4,124,525,3,187,525,277,649,187,525,277,649
Newstory01,English,20,blue,4,124,525,3,289,525,379,649,289,525,379,649
Newstory01,English,21,red,4,124,525,3,391,525,481,649,391,525,481,649
Newstory01,English,22,black,4,124,525,3,493,525,583,649,493,525,583,649
Newstory01,English,23,yellow,4,124,525,3,595,525,685,649,595,525,685,649
Newstory01,English,24,brown,4,124,525,3,697,525,787,649,697,525,787,649
Newstory01,English,25,yellow,4,124,525,3,799,525,889,649,799,525,889,649
Newstory01,English,26,red,4,124,525,3,901,525,991,649,901,525,991,649
Newstory01,English,27,green,4,124,525,3,1003,525,1093,649,1003,525,1093,649
Newstory01,English,28,blue,4,124,675,4,187,675,277,799,187,675,277,799
Newstory01,English,29,green,4,124,675,4,289,675,379,799,289,675,379,799
Newstory01,English,30,black,4,124,675,4,391,675,481,799,391,675,481,799
Newstory01,English,31,yellow,4,124,675,4,493,675,583,799,493,675,583,799
Newstory01,English,32,black,4,124,675,4,595,675,685,799,595,675,685,799
Newstory01,English,33,blue,4,124,675,4,697,675,787,799,697,675,787,799
Newstory01,English,34,red,4,124,675,4,799,675,889,799,799,675,889,799
Newstory01,English,35,green,4,124,675,4,901,675,991,799,901,675,991,799
Newstory01,English,36,brown,4,124,675,4,1003,675,1093,799,1003,675,1093,799
