Name,Language,WordID,Word,length,height,baseline,line_no,x1_pos,y1_pos,x2_pos,y2_pos,b_x1,b_y1,b_x2,b_y2
story01,English,1.0,Alex,4.0,15.0,86.0,1.0,215.0,71.0,259.0,86.0,215.0,53.0,259.0,108.0
story01,English,2.0, and,4.0,15.0,86.0,1.0,259.0,71.0,303.0,86.0,259.0,53.0,303.0,108.0
story01,English,3.0, Tim,4.0,15.0,86.0,1.0,303.0,71.0,347.0,86.0,303.0,53.0,347.0,108.0
story01,English,4.0, are,4.0,15.0,86.0,1.0,347.0,71.0,391.0,86.0,347.0,53.0,391.0,108.0
story01,English,5.0, lost.,6.0,15.0,86.0,1.0,391.0,71.0,457.0,86.0,391.0,53.0,457.0,108.0
story01,English,6.0, Alex's,7.0,15.0,86.0,1.0,457.0,71.0,534.0,86.0,457.0,53.0,534.0,108.0
story01,English,7.0, wife,5.0,15.0,86.0,1.0,534.0,71.0,589.0,86.0,534.0,53.0,589.0,108.0
story01,English,8.0, recently,9.0,19.0,86.0,1.0,589.0,71.0,688.0,90.0,589.0,53.0,688.0,108.0
story01,English,9.0, passed,7.0,19.0,86.0,1.0,688.0,71.0,765.0,90.0,688.0,53.0,765.0,108.0
story01,English,10.0, away,5.0,19.0,86.0,1.0,765.0,71.0,820.0,90.0,765.0,53.0,820.0,108.0
story01,English,11.0, and,4.0,15.0,86.0,1.0,820.0,71.0,864.0,86.0,820.0,53.0,864.0,108.0
story01,English,12.0, he,3.0,15.0,86.0,1.0,864.0,71.0,897.0,86.0,864.0,53.0,897.0,108.0
story01,English,13.0, couldn't,9.0,15.0,86.0,1.0,897.0,71.0,996.0,86.0,897.0,53.0,996.0,108.0
story01,English,14.0,find,4.0,15.0,151.0,2.0,215.0,136.0,259.0,151.0,215.0,118.0,259.0,173.0
story01,English,15.0, the,4.0,15.0,151.0,2.0,259.0,136.0,303.0,151.0,259.0,118.0,303.0,173.0
story01,English,16.0, motivation,11.0,15.0,151.0,2.0,303.0,136.0,424.0,151.0,303.0,118.0,424.0,173.0
story01,English,17.0, to,3.0,15.0,151.0,2.0,424.0,136.0,457.0,151.0,424.0,118.0,457.0,173.0
story01,English,18.0, live,5.0,15.0,151.0,2.0,457.0,136.0,512.0,151.0,457.0,118.0,512.0,173.0
story01,English,19.0, a,2.0,15.0,151.0,2.0,512.0,136.0,534.0,151.0,512.0,118.0,534.0,173.0
story01,English,20.0, normal,7.0,15.0,151.0,2.0,534.0,136.0,611.0,151.0,534.0,118.0,611.0,173.0
story01,English,21.0, life.,6.0,15.0,151.0,2.0,611.0,136.0,677.0,151.0,611.0,118.0,677.0,173.0
story01,English,22.0, Tim,4.0,15.0,151.0,2.0,677.0,136.0,721.0,151.0,677.0,118.0,721.0,173.0
story01,English,23.0, has,4.0,15.0,151.0,2.0,721.0,136.0,765.0,151.0,721.0,118.0,765.0,173.0
story01,English,24.0, been,5.0,15.0,151.0,2.0,765.0,136.0,820.0,151.0,765.0,118.0,820.0,173.0
story01,English,25.0, charged,8.0,19.0,151.0,2.0,820.0,136.0,908.0,155.0,820.0,118.0,908.0,173.0
story01,English,26.0, with,5.0,15.0,151.0,2.0,908.0,136.0,963.0,151.0,908.0,118.0,963.0,173.0
story01,English,27.0,embezzlement,12.0,15.0,216.0,3.0,215.0,201.0,347.0,216.0,215.0,183.0,347.0,238.0
story01,English,28.0, and,4.0,15.0,216.0,3.0,347.0,201.0,391.0,216.0,347.0,183.0,391.0,238.0
story01,English,29.0, is,3.0,15.0,216.0,3.0,391.0,201.0,424.0,216.0,391.0,183.0,424.0,238.0
story01,English,30.0, going,6.0,19.0,216.0,3.0,424.0,201.0,490.0,220.0,424.0,183.0,490.0,238.0
story01,English,31.0, to,3.0,15.0,216.0,3.0,490.0,201.0,523.0,216.0,490.0,183.0,523.0,238.0
story01,English,32.0, prison,7.0,19.0,216.0,3.0,523.0,201.0,600.0,220.0,523.0,183.0,600.0,238.0
story01,English,33.0, soon.,6.0,15.0,216.0,3.0,600.0,201.0,666.0,216.0,600.0,183.0,666.0,238.0
story01,English,34.0, The,4.0,15.0,216.0,3.0,666.0,201.0,710.0,216.0,666.0,183.0,710.0,238.0
story01,English,35.0, thought,8.0,19.0,216.0,3.0,710.0,201.0,798.0,220.0,710.0,183.0,798.0,238.0
story01,English,36.0, of,3.0,15.0,216.0,3.0,798.0,201.0,831.0,216.0,798.0,183.0,831.0,238.0
story01,English,37.0, that,5.0,15.0,216.0,3.0,831.0,201.0,886.0,216.0,831.0,183.0,886.0,238.0
story01,English,38.0, terrified,10.0,15.0,216.0,3.0,886.0,201.0,996.0,216.0,886.0,183.0,996.0,238.0
story01,English,39.0,him.,4.0,15.0,281.0,4.0,215.0,266.0,259.0,281.0,215.0,248.0,259.0,303.0
story01,English,40.0, They,5.0,19.0,281.0,4.0,259.0,266.0,314.0,285.0,259.0,248.0,314.0,303.0
story01,English,41.0, decided,8.0,15.0,281.0,4.0,314.0,266.0,402.0,281.0,314.0,248.0,402.0,303.0
story01,English,42.0, to,3.0,15.0,281.0,4.0,402.0,266.0,435.0,281.0,402.0,248.0,435.0,303.0
story01,English,43.0, take,5.0,15.0,281.0,4.0,435.0,266.0,490.0,281.0,435.0,248.0,490.0,303.0
story01,English,44.0, a,2.0,15.0,281.0,4.0,490.0,266.0,512.0,281.0,490.0,248.0,512.0,303.0
story01,English,45.0, ride,5.0,15.0,281.0,4.0,512.0,266.0,567.0,281.0,512.0,248.0,567.0,303.0
story01,English,46.0, down,5.0,15.0,281.0,4.0,567.0,266.0,622.0,281.0,567.0,248.0,622.0,303.0
story01,English,47.0, the,4.0,15.0,281.0,4.0,622.0,266.0,666.0,281.0,622.0,248.0,666.0,303.0
story01,English,48.0, river,6.0,15.0,281.0,4.0,666.0,266.0,732.0,281.0,666.0,248.0,732.0,303.0
story01,English,49.0, rapids,7.0,19.0,281.0,4.0,732.0,266.0,809.0,285.0,732.0,248.0,809.0,303.0
story01,English,50.0, at,3.0,15.0,281.0,4.0,809.0,266.0,842.0,281.0,809.0,248.0,842.0,303.0
story01,English,51.0, Cataract,9.0,15.0,281.0,4.0,842.0,266.0,941.0,281.0,842.0,248.0,941.0,303.0
story01,English,52.0, Canyon.,8.0,19.0,281.0,4.0,941.0,266.0,1029.0,285.0,941.0,248.0,1029.0,303.0
story01,English,53.0,A,1.0,15.0,346.0,5.0,215.0,331.0,226.0,346.0,215.0,313.0,226.0,368.0
story01,English,54.0, river,6.0,15.0,346.0,5.0,226.0,331.0,292.0,346.0,226.0,313.0,292.0,368.0
story01,English,55.0, only,5.0,19.0,346.0,5.0,292.0,331.0,347.0,350.0,292.0,313.0,347.0,368.0
story01,English,56.0, goes,5.0,19.0,346.0,5.0,347.0,331.0,402.0,350.0,347.0,313.0,402.0,368.0
story01,English,57.0, one,4.0,15.0,346.0,5.0,402.0,331.0,446.0,346.0,402.0,313.0,446.0,368.0
story01,English,58.0, way.,5.0,19.0,346.0,5.0,446.0,331.0,501.0,350.0,446.0,313.0,501.0,368.0
story01,English,59.0, If,3.0,15.0,346.0,5.0,501.0,331.0,534.0,346.0,501.0,313.0,534.0,368.0
story01,English,60.0, you,4.0,19.0,346.0,5.0,534.0,331.0,578.0,350.0,534.0,313.0,578.0,368.0
story01,English,61.0, are,4.0,15.0,346.0,5.0,578.0,331.0,622.0,346.0,578.0,313.0,622.0,368.0
story01,English,62.0," lost,",6.0,18.0,346.0,5.0,622.0,331.0,688.0,349.0,622.0,313.0,688.0,368.0
story01,English,63.0, that,5.0,15.0,346.0,5.0,688.0,331.0,743.0,346.0,688.0,313.0,743.0,368.0
story01,English,64.0, is,3.0,15.0,346.0,5.0,743.0,331.0,776.0,346.0,743.0,313.0,776.0,368.0
story01,English,65.0, good.,6.0,19.0,346.0,5.0,776.0,331.0,842.0,350.0,776.0,313.0,842.0,368.0
story01,English,66.0, Alex,5.0,15.0,346.0,5.0,842.0,331.0,897.0,346.0,842.0,313.0,897.0,368.0
story01,English,67.0, has,4.0,15.0,346.0,5.0,897.0,331.0,941.0,346.0,897.0,313.0,941.0,368.0
story01,English,68.0, never,6.0,15.0,346.0,5.0,941.0,331.0,1007.0,346.0,941.0,313.0,1007.0,368.0
story01,English,69.0,rafted,6.0,15.0,411.0,6.0,215.0,396.0,281.0,411.0,215.0,378.0,281.0,433.0
story01,English,70.0, on,3.0,15.0,411.0,6.0,281.0,396.0,314.0,411.0,281.0,378.0,314.0,433.0
story01,English,71.0, this,5.0,15.0,411.0,6.0,314.0,396.0,369.0,411.0,314.0,378.0,369.0,433.0
story01,English,72.0, river,6.0,15.0,411.0,6.0,369.0,396.0,435.0,411.0,369.0,378.0,435.0,433.0
story01,English,73.0," before,",8.0,18.0,411.0,6.0,435.0,396.0,523.0,414.0,435.0,378.0,523.0,433.0
story01,English,74.0, but,4.0,15.0,411.0,6.0,523.0,396.0,567.0,411.0,523.0,378.0,567.0,433.0
story01,English,75.0, Tim,4.0,15.0,411.0,6.0,567.0,396.0,611.0,411.0,567.0,378.0,611.0,433.0
story01,English,76.0, has,4.0,15.0,411.0,6.0,611.0,396.0,655.0,411.0,611.0,378.0,655.0,433.0
story01,English,77.0, many,5.0,19.0,411.0,6.0,655.0,396.0,710.0,415.0,655.0,378.0,710.0,433.0
