subj,trial_id,trial_type,trialstart,trialend,tdur,recstart,recend,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line_no,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount
1950149,1.0,story02,671259.0,719880.0,48621.0,671310.0,719062.0,7.0,L,26784.0,0.0,194,45,1,3,The,1,215,248,204.0,248.0,160.0,1.0,0.0,0.0,605.0,1.0,160.0,172.0,160.0,0.0,0.0,605.0,,
1950149,1.0,story02,671259.0,719880.0,48621.0,671310.0,719062.0,7.0,L,26784.0,0.0,194,45,2,6, trial,1,248,314,248.0,314.0,,,,,,,,,,,,,,
1950149,1.0,story02,671259.0,719880.0,48621.0,671310.0,719062.0,7.0,L,26784.0,0.0,194,45,3,5, pack,1,314,370,314.0,370.0,,,,,,,,,,,,,,
1950149,1.0,story02,671259.0,719880.0,48621.0,671310.0,719062.0,7.0,L,26784.0,0.0,194,45,4,3, of,1,370,403,370.0,403.0,,,,,,,,,,,,,,
1950149,1.0,story02,671259.0,719880.0,48621.0,671310.0,719062.0,7.0,L,26784.0,0.0,194,45,5,15, Beauty-Forever,1,403,568,403.0,568.0,,,,,,,,,,,,,,
1950149,1.0,story02,671259.0,719880.0,48621.0,671310.0,719062.0,7.0,L,26784.0,0.0,194,45,6,6, pills,1,568,634,568.0,634.0,,,,,,,,,,,,,,
1950149,1.0,story02,671259.0,719880.0,48621.0,671310.0,719062.0,7.0,L,26784.0,0.0,194,45,7,5, made,1,634,689,634.0,689.0,,,,,,,,,,,,,,
1950149,1.0,story02,671259.0,719880.0,48621.0,671310.0,719062.0,7.0,L,26784.0,0.0,194,45,8,4, the,1,689,733,689.0,733.0,,,,,,,,,,,,,,
1950149,1.0,story02,671259.0,719880.0,48621.0,671310.0,719062.0,7.0,L,26784.0,0.0,194,45,9,7, couple,1,733,810,733.0,810.0,,,,,,,,,,,,,,
1950149,1.0,story02,671259.0,719880.0,48621.0,671310.0,719062.0,7.0,L,26784.0,0.0,194,45,10,5, feel,1,810,865,810.0,865.0,,,,,,,,,,,,,,
