subj,trial_id,trial_type,trialstart,trialend,tdur,recstart,recend,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line_no,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,R,79689.0,0.0,378,119,1,6,Cowboy,1,215,281,204.0,281.0,200.0,1.0,0.0,0.0,995.0,1.0,200.0,224.0,200.0,0.0,0.0,995.0,416.0,3.0
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,R,79689.0,0.0,378,119,2,4, was,1,281,325,281.0,325.0,304.0,2.0,1.0,1.0,3.0,2.0,224.0,196.0,500.0,1.0,1.0,3.0,340.0,2.0
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,R,79689.0,0.0,378,119,3,8, without,1,325,413,325.0,413.0,88.0,1.0,1.0,1.0,5.0,1.0,88.0,124.0,1192.0,7.0,1.0,5.0,696.0,4.0
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,R,79689.0,0.0,378,119,4,2, a,1,413,435,413.0,435.0,,,,,,,,,,,,,,
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,R,79689.0,0.0,378,119,5,6, doubt,1,435,501,435.0,501.0,128.0,1.0,1.0,3.0,7.0,0.0,128.0,88.0,1320.0,8.0,1.0,5.0,80.0,1.0
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,R,79689.0,0.0,378,119,6,4, the,1,501,545,501.0,545.0,200.0,1.0,1.0,5.0,18.0,1.0,200.0,80.0,652.0,3.0,3.0,17.0,388.0,2.0
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,R,79689.0,0.0,378,119,7,8, ugliest,1,545,633,545.0,633.0,544.0,2.0,0.0,0.0,995.0,1.0,212.0,272.0,544.0,0.0,0.0,995.0,260.0,2.0
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,R,79689.0,0.0,378,119,8,6, horse,1,633,699,633.0,699.0,272.0,1.0,0.0,0.0,995.0,4.0,272.0,188.0,272.0,0.0,0.0,995.0,,
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,R,79689.0,0.0,378,119,9,3, in,1,699,732,699.0,732.0,,,,,,,,,,,,,,
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,R,79689.0,0.0,378,119,10,4, the,1,732,776,732.0,776.0,332.0,2.0,0.0,0.0,995.0,3.0,188.0,172.0,332.0,0.0,0.0,995.0,344.0,1.0
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,R,79689.0,0.0,378,119,11,7, world.,1,776,853,776.0,853.0,172.0,1.0,1.0,10.0,46.0,3.0,172.0,344.0,944.0,4.0,6.0,26.0,200.0,1.0
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,R,79689.0,0.0,378,119,12,5, Even,1,853,908,853.0,908.0,152.0,1.0,0.0,0.0,995.0,1.0,152.0,164.0,152.0,0.0,0.0,995.0,,
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,R,79689.0,0.0,378,119,13,4," so,",1,908,952,908.0,952.0,164.0,1.0,1.0,11.0,52.0,0.0,164.0,200.0,780.0,3.0,11.0,56.0,416.0,2.0
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,R,79689.0,0.0,378,119,14,2, I,1,952,974,952.0,985.0,216.0,1.0,0.0,0.0,995.0,0.0,216.0,504.0,216.0,0.0,0.0,995.0,,
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,R,79689.0,0.0,378,119,15,5,loved,2,215,270,204.0,270.0,136.0,1.0,0.0,0.0,995.0,4.0,136.0,124.0,136.0,0.0,0.0,995.0,,
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,R,79689.0,0.0,378,119,16,4, him,2,270,314,270.0,314.0,124.0,1.0,0.0,0.0,995.0,1.0,124.0,172.0,124.0,0.0,0.0,995.0,368.0,3.0
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,R,79689.0,0.0,378,119,17,7, beyond,2,314,391,314.0,391.0,172.0,1.0,1.0,16.0,71.0,1.0,172.0,96.0,472.0,3.0,16.0,76.0,140.0,1.0
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,R,79689.0,0.0,378,119,18,4, all,2,391,435,391.0,435.0,68.0,1.0,1.0,16.0,72.0,0.0,68.0,208.0,624.0,2.0,16.0,77.0,348.0,1.0
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,R,79689.0,0.0,378,119,19,8, reason.,2,435,523,435.0,523.0,108.0,1.0,0.0,0.0,995.0,3.0,108.0,200.0,108.0,0.0,0.0,995.0,,
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,R,79689.0,0.0,378,119,20,2, I,2,523,545,523.0,545.0,200.0,1.0,0.0,0.0,995.0,0.0,200.0,208.0,200.0,0.0,0.0,995.0,,
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,R,79689.0,0.0,378,119,21,9, realized,2,545,644,545.0,644.0,208.0,1.0,0.0,0.0,995.0,1.0,208.0,272.0,208.0,0.0,0.0,995.0,,
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,R,79689.0,0.0,378,119,22,5, that,2,644,699,644.0,699.0,1156.0,4.0,0.0,0.0,995.0,0.0,272.0,220.0,1156.0,0.0,0.0,995.0,,
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,R,79689.0,0.0,378,119,23,3, my,2,699,732,699.0,732.0,,,,,,,,,,,,,,
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,R,79689.0,0.0,378,119,24,5, only,2,732,787,732.0,787.0,220.0,1.0,0.0,0.0,995.0,4.0,220.0,304.0,220.0,0.0,0.0,995.0,,
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,R,79689.0,0.0,378,119,25,7, chance,2,787,864,787.0,864.0,304.0,1.0,0.0,0.0,995.0,5.0,304.0,268.0,304.0,0.0,0.0,995.0,304.0,2.0
