Name,Language,WordID,Word,length,height,baseline,line_no,x1_pos,y1_pos,x2_pos,y2_pos,b_x1,b_y1,b_x2,b_y2
story02,English,1,The,3,13,86,1,215,73,248,86,215,55,248,108
story02,English,2, trial,6,13,86,1,248,73,314,86,248,55,314,108
story02,English,3, pack,5,17,86,1,314,73,370,90,314,55,370,108
story02,English,4, of,3,13,86,1,370,73,403,86,370,55,403,108
story02,English,5, Beauty-Forever,15,16,86,1,403,74,568,90,403,55,568,108
story02,English,6, pills,6,17,86,1,568,73,634,90,568,55,634,108
story02,English,7, made,5,13,86,1,634,73,689,86,634,55,689,108
story02,English,8, the,4,13,86,1,689,73,733,86,689,55,733,108
story02,English,9, couple,7,17,86,1,733,73,810,90,733,55,810,108
story02,English,10, feel,5,13,86,1,810,73,865,86,810,55,865,108
story02,English,11, more,5,10,86,1,865,76,920,86,865,55,920,108
story02,English,12, attractive,11,13,86,1,920,73,1041,86,920,55,1041,108
story02,English,13,than,4,13,151,2,215,138,259,151,215,120,259,173
story02,English,14, either,7,13,151,2,259,138,336,151,259,120,336,173
story02,English,15, had,4,13,151,2,336,138,380,151,336,120,380,173
story02,English,16, ever,5,10,151,2,380,141,435,151,380,120,435,173
story02,English,17, imagined,9,17,151,2,435,138,534,155,435,120,534,173
story02,English,18, possible.,10,17,151,2,534,138,644,155,534,120,644,173
story02,English,19, Suddenly,9,17,151,2,644,138,743,155,644,120,743,173
story02,English,20, their,6,13,151,2,743,138,809,151,743,120,809,173
story02,English,21, marriage,9,17,151,2,809,138,908,155,809,120,908,173
story02,English,22, was,4,10,151,2,908,141,952,151,908,120,952,173
story02,English,23, filled,7,13,151,2,952,138,1029,151,952,120,1029,173
story02,English,24,with,4,13,216,3,215,203,259,216,215,185,259,238
story02,English,25, more,5,10,216,3,259,206,314,216,259,185,314,238
story02,English,26," laughter,",10,17,216,3,314,203,424,220,314,185,424,238
story02,English,27, more,5,10,216,3,424,206,479,216,424,185,479,238
story02,English,28," cuddling,",10,17,216,3,479,203,589,220,479,185,589,238
story02,English,29, more,5,10,216,3,589,206,644,216,589,185,644,238
story02,English,30, passionate,11,17,216,3,644,203,765,220,644,185,765,238
story02,English,31, sex,4,10,216,3,765,206,809,216,765,185,809,238
story02,English,32, more,5,10,216,3,809,206,864,216,809,185,864,238
story02,English,33, often.,7,13,216,3,864,203,941,216,864,185,941,238
story02,English,34,"Convinced,",10,16,281,4,215,268,325,284,215,250,325,303
