Name,Language,WordID,Word,length,height,baseline,line_no,x1_pos,y1_pos,x2_pos,y2_pos,b_x1,b_y1,b_x2,b_y2
ChineseStory,Chinese,1.0,南郭,2.0,17.0,86.0,1.0,215.0,69.0,251.0,86.0,215.0,51.0,251.0,104.0
ChineseStory,Chinese,2.0,先生,2.0,17.0,86.0,1.0,251.0,69.0,287.0,86.0,251.0,51.0,287.0,104.0
ChineseStory,Chinese,3.0,是,1.0,16.0,86.0,1.0,287.0,70.0,305.0,86.0,287.0,52.0,305.0,104.0
ChineseStory,Chinese,4.0,齐国人，,4.0,17.0,86.0,1.0,305.0,69.0,377.0,86.0,305.0,51.0,377.0,104.0
ChineseStory,Chinese,5.0,齐国,2.0,17.0,86.0,1.0,377.0,69.0,413.0,86.0,377.0,51.0,413.0,104.0
ChineseStory,Chinese,6.0,当时,2.0,17.0,86.0,1.0,413.0,69.0,449.0,86.0,413.0,51.0,449.0,104.0
ChineseStory,Chinese,7.0,在位的,3.0,17.0,86.0,1.0,449.0,69.0,503.0,86.0,449.0,51.0,503.0,104.0
ChineseStory,Chinese,8.0,君王,2.0,16.0,86.0,1.0,503.0,70.0,539.0,86.0,503.0,52.0,539.0,104.0
ChineseStory,Chinese,9.0,是,1.0,16.0,86.0,1.0,539.0,70.0,557.0,86.0,539.0,52.0,557.0,104.0
ChineseStory,Chinese,10.0,齐宣王，,4.0,17.0,86.0,1.0,557.0,69.0,629.0,86.0,557.0,51.0,629.0,104.0
ChineseStory,Chinese,11.0,宣王,2.0,16.0,86.0,1.0,629.0,70.0,665.0,86.0,629.0,52.0,665.0,104.0
ChineseStory,Chinese,12.0,非常,2.0,17.0,86.0,1.0,665.0,69.0,701.0,86.0,665.0,51.0,701.0,104.0
ChineseStory,Chinese,13.0,喜欢,2.0,17.0,86.0,1.0,701.0,69.0,737.0,86.0,701.0,51.0,737.0,104.0
ChineseStory,Chinese,14.0,听,1.0,17.0,86.0,1.0,737.0,69.0,755.0,86.0,737.0,51.0,755.0,104.0
ChineseStory,Chinese,15.0,一种,2.0,17.0,86.0,1.0,755.0,69.0,791.0,86.0,755.0,51.0,791.0,104.0
ChineseStory,Chinese,16.0,古代的,3.0,17.0,86.0,1.0,791.0,69.0,845.0,86.0,791.0,51.0,845.0,104.0
ChineseStory,Chinese,17.0,簧乐器,3.0,17.0,151.0,2.0,215.0,134.0,269.0,151.0,215.0,116.0,269.0,169.0
