Name,Language,WordID,Word,length,height,baseline,line_no,x1_pos,y1_pos,x2_pos,y2_pos,b_x1,b_y1,b_x2,b_y2
KoreanStory,Korean,1.0,옛날에,3.0,19.0,86.0,1.0,215.0,67.0,269.0,86.0,215.0,49.0,269.0,104.0
KoreanStory,Korean,2.0, 사시장철,5.0,19.0,86.0,1.0,269.0,67.0,347.0,86.0,269.0,49.0,347.0,104.0
KoreanStory,Korean,3.0, 춥지도,4.0,19.0,86.0,1.0,347.0,67.0,407.0,86.0,347.0,49.0,407.0,104.0
KoreanStory,Korean,4.0, 더웁지도,5.0,19.0,86.0,1.0,407.0,67.0,485.0,86.0,407.0,49.0,485.0,104.0
KoreanStory,Korean,5.0, 않게,3.0,19.0,86.0,1.0,485.0,67.0,527.0,86.0,485.0,49.0,527.0,104.0
KoreanStory,Korean,6.0, 날씨,3.0,19.0,86.0,1.0,527.0,67.0,569.0,86.0,527.0,49.0,569.0,104.0
KoreanStory,Korean,7.0, 좋고,3.0,19.0,86.0,1.0,569.0,67.0,611.0,86.0,569.0,49.0,611.0,104.0
KoreanStory,Korean,8.0, 땅은,3.0,19.0,86.0,1.0,611.0,67.0,653.0,86.0,611.0,49.0,653.0,104.0
KoreanStory,Korean,9.0, 기름진,4.0,19.0,86.0,1.0,653.0,67.0,713.0,86.0,653.0,49.0,713.0,104.0
KoreanStory,Korean,10.0,고장에,3.0,19.0,151.0,2.0,215.0,132.0,269.0,151.0,215.0,114.0,269.0,169.0
KoreanStory,Korean,11.0, 작고,3.0,19.0,151.0,2.0,269.0,132.0,311.0,151.0,269.0,114.0,311.0,169.0
KoreanStory,Korean,12.0, 아름다운,5.0,19.0,151.0,2.0,311.0,132.0,389.0,151.0,311.0,114.0,389.0,169.0
KoreanStory,Korean,13.0, 나라가,4.0,19.0,151.0,2.0,389.0,132.0,449.0,151.0,389.0,114.0,449.0,169.0
KoreanStory,Korean,14.0, 있었습니다.,7.0,19.0,151.0,2.0,449.0,132.0,550.0,151.0,449.0,114.0,550.0,169.0
KoreanStory,Korean,15.0, 그,2.0,19.0,151.0,2.0,550.0,132.0,574.0,151.0,550.0,114.0,574.0,169.0
KoreanStory,Korean,16.0, 나라를,4.0,19.0,151.0,2.0,574.0,132.0,634.0,151.0,574.0,114.0,634.0,169.0
KoreanStory,Korean,17.0, 다스리는,5.0,19.0,151.0,2.0,634.0,132.0,712.0,151.0,634.0,114.0,712.0,169.0
KoreanStory,Korean,18.0,임금님도,4.0,19.0,216.0,3.0,215.0,197.0,287.0,216.0,215.0,179.0,287.0,234.0
KoreanStory,Korean,19.0, 그,2.0,19.0,216.0,3.0,287.0,197.0,311.0,216.0,287.0,179.0,311.0,234.0
KoreanStory,Korean,20.0, 나라의,4.0,19.0,216.0,3.0,311.0,197.0,371.0,216.0,311.0,179.0,371.0,234.0
KoreanStory,Korean,21.0, 자연만큼이나,7.0,19.0,216.0,3.0,371.0,197.0,485.0,216.0,371.0,179.0,485.0,234.0
