Name,Language,WordID,Word,length,height,baseline,line_no,x1_pos,y1_pos,x2_pos,y2_pos,b_x1,b_y1,b_x2,b_y2
story03,English,1,Cowboy,6,17,86,1,215,73,281,90,215,55,281,108
story03,English,2, was,4,10,86,1,281,76,325,86,281,55,325,108
story03,English,3, without,8,13,86,1,325,73,413,86,325,55,413,108
story03,English,4, a,2,10,86,1,413,76,435,86,413,55,435,108
story03,English,5, doubt,6,13,86,1,435,73,501,86,435,55,501,108
story03,English,6, the,4,13,86,1,501,73,545,86,501,55,545,108
story03,English,7, ugliest,8,17,86,1,545,73,633,90,545,55,633,108
story03,English,8, horse,6,13,86,1,633,73,699,86,633,55,699,108
story03,English,9, in,3,13,86,1,699,73,732,86,699,55,732,108
story03,English,10, the,4,13,86,1,732,73,776,86,732,55,776,108
story03,English,11, world.,7,13,86,1,776,73,853,86,776,55,853,108
story03,English,12, Even,5,12,86,1,853,74,908,86,853,55,908,108
story03,English,13," so,",4,13,86,1,908,76,952,89,908,55,952,108
story03,English,14, I,2,12,86,1,952,74,974,86,952,55,974,108
story03,English,15,loved,5,13,151,2,215,138,270,151,215,120,270,173
story03,English,16, him,4,13,151,2,270,138,314,151,270,120,314,173
story03,English,17, beyond,7,17,151,2,314,138,391,155,314,120,391,173
story03,English,18, all,4,13,151,2,391,138,435,151,391,120,435,173
story03,English,19, reason.,8,10,151,2,435,141,523,151,435,120,523,173
story03,English,20, I,2,12,151,2,523,139,545,151,523,120,545,173
story03,English,21, realized,9,13,151,2,545,138,644,151,545,120,644,173
story03,English,22, that,5,13,151,2,644,138,699,151,644,120,699,173
story03,English,23, my,3,14,151,2,699,141,732,155,699,120,732,173
story03,English,24, only,5,17,151,2,732,138,787,155,732,120,787,173
story03,English,25, chance,7,13,151,2,787,138,864,151,787,120,864,173
story03,English,26, to,3,12,151,2,864,139,897,151,864,120,897,173
story03,English,27, compete,8,16,151,2,897,139,985,155,897,120,985,173
story03,English,28,would,5,13,216,3,215,203,270,216,215,185,270,238
story03,English,29, be,3,13,216,3,270,203,303,216,270,185,303,238
story03,English,30, in,3,13,216,3,303,203,336,216,303,185,336,238
story03,English,31, the,4,13,216,3,336,203,380,216,336,185,380,238
story03,English,32, speed,6,17,216,3,380,203,446,220,380,185,446,238
story03,English,33," events,",8,15,216,3,446,204,534,219,446,185,534,238
story03,English,34, since,6,13,216,3,534,203,600,216,534,185,600,238
story03,English,35, events,7,12,216,3,600,204,677,216,600,185,677,238
story03,English,36, based,6,13,216,3,677,203,743,216,677,185,743,238
story03,English,37, on,3,10,216,3,743,206,776,216,743,185,776,238
story03,English,38, appearance,11,14,216,3,776,206,897,220,776,185,897,238
story03,English,39, were,5,10,216,3,897,206,952,216,897,185,952,238
story03,English,40, out,4,12,216,3,952,204,996,216,952,185,996,238
story03,English,41, of,3,13,216,3,996,203,1029,216,996,185,1029,238
story03,English,42,the,3,13,281,4,215,268,248,281,215,250,248,303
story03,English,43, question.,10,17,281,4,248,268,358,285,248,250,358,303
story03,English,44, I,2,12,281,4,358,269,380,281,358,250,380,303
story03,English,45, chose,6,13,281,4,380,268,446,281,380,250,446,303
story03,English,46, barrel,7,13,281,4,446,268,523,281,446,250,523,303
story03,English,47, racing,7,17,281,4,523,268,600,285,523,250,600,303
story03,English,48, and,4,13,281,4,600,268,644,281,600,250,644,303
story03,English,49, came,5,10,281,4,644,271,699,281,644,250,699,303
story03,English,50, in,3,13,281,4,699,268,732,281,699,250,732,303
